date,area,fuel_type,total_energy_produced,day_peak,evening_peak,Demand,Supply,total_fuel_cost,apparent_temperature_mean (°C),total_fuel_quantity,district,fuel,temperature_class,season
2019-01-31,Dhaka,Gas,265720314,382,380,86696,86696,162089391.5,17.21612903,1286423742,1,0,1,winter
2019-02-28,Dhaka,Gas,220660992,390,377,79909,79909,134603205.1,20.90357143,1068279406,1,0,1,winter
2019-03-31,Dhaka,Gas,340738110,694,707,101529,101529,1338143606,26.28064516,10620187350,1,0,2,fall
2019-04-30,Dhaka,Gas,390196638,707,630,109942,109942,2829176689,31.26333333,22453783246,1,0,0,summer
2019-05-31,Dhaka,Gas,400583528,665,644,117327,117327,2785896587,34.33448276,22110290376,1,0,0,summer
2019-06-30,Dhaka,HFO,38956870,1634,1852,4185,4185,64398156.1,36,1533289.431,1,2,0,summer
2019-06-30,Dhaka,Gas,447604016,1634,1852,105161,105161,3023020880,34.58275862,23992229204,1,0,0,summer
2019-06-30,Chattogram,Gas,2400000,100,100,1191,1191,2640000,34.7,20952380.95,2,0,0,summer
2019-07-31,Chattogram,Gas,382724823,740,919,33125,33125,221715515.6,31.65333333,1759646950,2,0,0,summer
2019-07-31,Rajshahi,Gas/HSD,139554685,576,853,15066,15066,48562523.65,34.76923077,607031.5456,8,4,0,summer
2019-07-31,Rangpur,HFO,121748482,371,344,11743,11743,43717177.6,33.53888889,1040885.181,9,2,0,summer
2019-07-31,Barisal,Gas,186024747,325,416,9311,9311,170343199.4,33.71333333,1351930154,7,0,0,summer
2019-07-31,Cumilla,Gas,794145220,1342,1485,30838,30838,676683066.7,32.75666667,5370500530,3,0,0,summer
2019-07-31,Sylhet,Gas,641288129,1022,1020,13887,13887,619094340.2,33.85666667,4913447144,5,0,0,summer
2019-07-31,Rajshahi,Gas,241350126,576,853,34812,34812,103321561.4,34.79333333,820012392,8,0,0,summer
2019-07-31,Mymensingh,Solar,170033080,396.9,537,18064,18064,3484016,33.98095238,348401.6,4,5,0,summer
2019-07-31,Mymensingh,HFO,190349240,396.9,537,20384,20384,1012959965,33.84166667,24118094.4,4,2,0,summer
2019-07-31,Rangpur,HSD,161532463,369,345,16206,16206,126679360,34.052,1948913.231,9,3,0,summer
2019-07-31,Chattogram,HFO,382724823,740,919,33125,33125,2156553321,31.65333333,51346507.65,2,2,0,summer
2019-07-31,Khulna,HSD,172355249,285,612,39733,39733,370641611.3,34.26896552,5702178.635,6,3,0,summer
2019-07-31,Barisal,HFO,186024747,325,416,9311,9311,271048419.8,33.71333333,6453533.806,7,2,0,summer
2019-07-31,Rajshahi,HFO,241350126,576,853,34812,34812,1081403534,34.79333333,25747703.18,8,2,0,summer
2019-07-31,Dhaka,HSD,563156216,2005,2303,54407,54407,50649125,34.44615385,779217.3077,1,3,0,summer
2019-07-31,Rangpur,Coal,193736998,371,345,19485,19485,809726939.5,33.85666667,70045583,9,1,0,summer
2019-07-31,Dhaka,HFO,1240599748,2005,2303,121297,121297,2556496724,33.68,60868969.61,1,2,0,summer
2019-07-31,Dhaka,Gas,1267257292,2005,2303,125424,125424,1599131269,33.61612903,12691518009,1,0,0,summer
2019-07-31,Rajshahi,HSD,5985437,176,481,1129,1129,25466.64,34.2,391.7944615,8,3,0,summer
2019-07-31,Chattogram,Solar,300747598,740,919,22273,22273,19517775.1,32.045,1951777.51,2,5,0,summer
2019-07-31,Cumilla,HFO,794145220,1342,1485,30838,30838,228570988.3,32.75666667,5442166.389,3,2,0,summer
2019-07-31,Cumilla,HSD,299592107,1342,1485,11899,11899,24737222.4,33.69090909,380572.6523,3,3,0,summer
2019-07-31,Khulna,HFO,176926608,285,612,40999,40999,1500575017,34.23333333,35727976.58,6,2,0,summer
2019-07-31,Mymensingh,Gas,210675600,396.9,537,25788,25788,80107964,33.84,635777492.1,4,0,0,summer
2019-08-31,Rangpur,Coal,269156390,466,488,21197,21197,989676281.3,35.07666667,85612135.06,9,1,0,summer
2019-08-31,Rajshahi,HFO,410601844,556,924,36679,36679,1124239923,34.88,26767617.21,8,2,0,summer
2019-08-31,Barisal,Gas,215620307,301,426,9982,9982,210395509.5,33.97,1669805631,7,0,0,summer
2019-08-31,Rajshahi,Gas,410601844,556,924,36679,36679,101419305,34.88,804915119.1,8,0,0,summer
2019-08-31,Rangpur,HFO,269156390,466,488,21197,21197,473647278,35.07666667,11277316.14,9,2,0,summer
2019-08-31,Chattogram,Solar,312930179,787,814,30227,30227,29968399.1,33.00357143,2996839.91,2,5,0,summer
2019-08-31,Cumilla,Gas,830846347,1308,1420,32513,32513,746383771.2,33.68,5923680724,3,0,0,summer
2019-08-31,Dhaka,Gas,1174295128,2036,2414,109913,109913,799599837.3,34.02666667,6346030455,1,0,0,summer
2019-08-31,Sylhet,Gas,615966179,1022,1030,14778,14778,633500089.8,35.07666667,5027778491,5,0,0,summer
2019-08-31,Chattogram,Gas,330527885,787,814,32142,32142,243990097.4,32.91,1936429345,2,0,0,summer
2019-08-31,Khulna,HSD,183003141,369,668,40122,40122,327261442,34.18571429,5034791.415,6,3,0,summer
2019-08-31,Mymensingh,Solar,286622830,715,572,28297,28297,5486620,34.78,548662,4,5,0,summer
2019-08-31,Cumilla,HSD,178266092,1306,1420,6673,6673,31524480,35.11666667,484992,3,3,0,summer
2019-08-31,Mymensingh,HFO,286622830,715,572,28297,28297,1589614303,34.78,37847959.6,4,2,0,summer
2019-08-31,Cumilla,HFO,830846347,1308,1420,32513,32513,164390050.2,33.68,3914048.815,3,2,0,summer
2019-08-31,Rangpur,HSD,104907562,466,488,8018,8018,30064950,35.69090909,462537.6923,9,3,0,summer
2019-08-31,Chattogram,HFO,330527885,787,814,32142,32142,1653488317,32.91,39368769.46,2,2,0,summer
2019-08-31,Rajshahi,Gas/HSD,410601844,556,924,36679,36679,173640646.3,34.88,2170508.078,8,4,0,summer
2019-08-31,Dhaka,HSD,388786197,2036,2414,37155,37155,90813531.2,34.97777778,1397131.249,1,3,0,summer
2019-08-31,Rajshahi,HSD,44398607,556,873,3927,3927,18065312.1,36.16666667,277927.8785,8,3,0,summer
2019-08-31,Mymensingh,Gas,286622830,715,572,28297,28297,93526215.2,34.78,742271549.2,4,0,0,summer
2019-08-31,Barisal,HFO,215620307,301,426,9982,9982,292622534,33.97,6967203.191,7,2,0,summer
2019-08-31,Dhaka,HFO,1174295128,2036,2414,109913,109913,1986179645,34.02666667,47289991.54,1,2,0,summer
2019-08-31,Khulna,HFO,191038820,369,668,42708,42708,1678625921,34.12,39967283.84,6,2,0,summer
2019-09-30,Dhaka,HSD,516168800,2133,2532,46820,46820,36785206.9,34.39090909,565926.26,1,3,0,summer
2019-09-30,Rangpur,HSD,239077555,452,493,17199,17199,66801540,33.272,1027716,9,3,0,summer
